Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Playoffs,Playoffs_S
The Floridians,84.0,242.7,42.2,92.8,0.455,2.2,7.0,0.317,40.0,85.8,0.466,26.1,33.5,0.777,14.6,32.7,47.3,22.3,,,17.9,25.3,112.8,1972,True,False
New York Nets,84.0,243.3,44.0,91.6,0.48,1.1,3.8,0.289,42.9,87.9,0.488,23.7,30.8,0.769,15.3,34.2,49.5,21.9,,,19.7,24.6,112.8,1972,True,False
Denver Rockets,84.0,241.8,44.1,98.2,0.449,0.5,2.1,0.23,43.6,96.1,0.454,23.3,31.0,0.751,19.4,34.0,53.3,23.8,,,17.3,27.8,111.9,1972,True,False
Memphis Pros,84.0,241.5,41.7,100.1,0.416,1.8,7.8,0.236,39.8,92.3,0.431,22.3,30.1,0.743,22.0,35.2,57.2,19.2,,,18.6,25.8,107.5,1972,False,False
Dallas Chaparrals,84.0,243.0,40.0,89.3,0.448,1.2,3.7,0.336,38.8,85.7,0.453,23.1,29.7,0.778,15.8,31.7,47.5,17.7,,,14.5,27.6,104.4,1972,True,False
League Average,84.0,242.1,43.9,95.3,0.461,1.6,5.3,0.297,42.4,90.1,0.47,24.1,31.8,0.759,18.0,34.4,52.4,21.5,,,18.2,25.5,113.5,1972,False,False
Virginia Squires,11.0,240.0,47.1,96.1,0.49,0.5,1.7,0.263,46.6,94.4,0.494,22.5,28.7,0.785,,,54.0,21.7,,,19.8,26.5,117.2,1972,,True
Utah Stars,11.0,240.0,42.8,83.8,0.511,0.9,3.6,0.25,41.9,80.2,0.523,23.7,31.4,0.757,,,49.9,21.5,,,16.5,26.6,110.3,1972,,True
Indiana Pacers,20.0,241.3,41.3,90.8,0.454,2.7,8.4,0.317,38.6,82.5,0.468,23.2,31.5,0.738,,,50.9,19.2,,,14.6,24.0,108.4,1972,,True
New York Nets,19.0,240.0,42.4,88.8,0.477,1.8,5.3,0.34,40.6,83.5,0.486,21.0,28.4,0.74,,,45.9,18.9,,,17.7,22.7,107.5,1972,,True
The Floridians,4.0,240.0,39.8,96.3,0.413,1.3,6.3,0.2,38.5,90.0,0.428,25.8,32.8,0.786,,,53.5,19.5,,,15.5,25.8,106.5,1972,,True
Denver Rockets,7.0,243.6,39.1,91.3,0.429,0.4,2.0,0.214,38.7,89.3,0.434,22.4,28.3,0.793,,,54.7,18.4,,,13.6,26.7,101.1,1972,,True
Kentucky Colonels,6.0,240.0,39.3,83.0,0.474,2.3,6.7,0.35,37.0,76.3,0.485,19.0,25.0,0.76,,,43.5,20.3,,,19.5,22.8,100.0,1972,,True
Dallas Chaparrals,4.0,240.0,40.3,91.8,0.439,1.0,5.0,0.2,39.3,86.8,0.452,16.3,23.8,0.684,,,45.8,20.8,,,11.5,30.8,97.8,1972,,True
League Average,10.0,240.6,42.1,89.9,0.468,1.6,5.2,0.301,40.5,84.7,0.478,22.1,29.3,0.754,,,49.7,19.9,,,16.5,24.9,107.8,1972,,True
Los Angeles Lakers,82.0,240.9,47.8,97.5,0.49,,,,47.8,97.5,0.49,25.4,34.5,0.734,,,56.4,27.2,,,19.5,20.0,121.0,1972,True,False
Phoenix Suns,82.0,242.4,43.9,96.1,0.457,,,,43.9,96.1,0.457,28.5,36.6,0.779,,,52.5,24.1,,,19.6,24.7,116.3,1972,False,False
Boston Celtics,82.0,240.6,46.6,102.8,0.453,,,,46.6,102.8,0.453,22.4,28.9,0.777,,,54.4,27.2,,,19.5,24.8,115.6,1972,True,False
Milwaukee Bucks,82.0,241.2,46.5,93.3,0.498,,,,46.5,93.3,0.498,21.6,29.3,0.739,,,52.1,26.3,,,19.9,22.7,114.6,1972,True,False
Philadelphia 76ers,82.0,241.2,43.6,98.3,0.444,,,,43.6,98.3,0.444,25.0,34.5,0.725,,,52.7,23.4,,,21.5,26.9,112.2,1972,False,False
Chicago Bulls,82.0,241.2,43.2,95.8,0.451,,,,43.2,95.8,0.451,24.9,32.9,0.755,,,53.3,25.5,,,15.9,24.0,111.2,1972,True,False
Houston Rockets,82.0,240.6,43.8,100.9,0.434,,,,43.8,100.9,0.434,22.1,29.6,0.748,,,54.1,21.7,,,17.4,24.3,109.7,1972,False,False
Atlanta Hawks,82.0,240.6,42.5,92.3,0.46,,,,42.5,92.3,0.46,24.6,33.2,0.741,,,49.8,23.1,,,22.2,24.0,109.5,1972,True,False
Seattle SuperSonics,82.0,240.9,42.2,90.9,0.464,,,,42.2,90.9,0.464,24.8,32.4,0.765,,,50.3,24.1,,,20.5,21.2,109.2,1972,False,False
Detroit Pistons,82.0,241.5,42.5,93.5,0.454,,,,42.5,93.5,0.454,24.2,32.4,0.747,,,48.4,20.6,,,22.5,23.8,109.1,1972,False,False
Golden State Warriors,82.0,240.3,42.4,96.6,0.439,,,,42.4,96.6,0.439,23.4,30.5,0.767,,,54.3,22.6,,,17.3,22.4,108.2,1972,True,False
Cincinnati Royals,82.0,241.2,42.0,91.4,0.459,,,,42.0,91.4,0.459,23.8,31.4,0.756,,,45.8,24.6,,,20.3,25.4,107.8,1972,False,False
New York Knicks,82.0,241.5,42.9,93.6,0.459,,,,42.9,93.6,0.459,21.3,28.1,0.757,,,47.7,24.2,,,16.8,23.2,107.1,1972,True,False
Baltimore Bullets,82.0,241.2,42.6,94.5,0.45,,,,42.6,94.5,0.45,22.0,29.0,0.759,,,50.7,22.1,,,19.2,22.7,107.1,1972,True,False
Portland Trail Blazers,82.0,241.5,42.2,95.6,0.442,,,,42.2,95.6,0.442,22.4,30.4,0.736,,,48.7,25.5,,,21.1,22.8,106.8,1972,False,False
Cleveland Cavaliers,82.0,240.9,42.2,98.5,0.428,,,,42.2,98.5,0.428,21.4,29.1,0.736,,,50.0,25.1,,,18.2,23.6,105.8,1972,False,False
Buffalo Braves,82.0,241.5,41.6,92.2,0.451,,,,41.6,92.2,0.451,18.9,27.1,0.698,,,48.5,21.5,,,21.7,25.7,102.0,1972,False,False
League Average,82.0,241.1,43.4,95.5,0.455,,,,43.4,95.5,0.455,23.3,31.2,0.748,,,51.1,24.1,,,19.6,23.6,110.2,1972,False,False
Atlanta Hawks,6.0,240.0,43.5,99.0,0.439,,,,43.5,99.0,0.439,26.0,35.8,0.726,,,50.0,20.2,,,,24.0,113.0,1972,,True
Boston Celtics,11.0,240.0,44.1,94.1,0.469,,,,44.1,94.1,0.469,24.7,31.7,0.779,,,50.3,23.0,,,,26.6,112.9,1972,,True
Milwaukee Bucks,11.0,240.0,45.0,100.5,0.448,,,,45.0,100.5,0.448,18.7,24.3,0.772,,,56.9,22.9,,,,22.5,108.7,1972,,True
Los Angeles Lakers,15.0,241.7,40.5,94.4,0.429,,,,40.5,94.4,0.429,25.5,34.1,0.75,,,54.1,21.6,,,,19.6,106.6,1972,,True
New York Knicks,16.0,243.1,41.9,89.4,0.469,,,,41.9,89.4,0.469,22.8,30.2,0.754,,,45.6,23.1,,,,23.8,106.6,1972,,True
Golden State Warriors,5.0,240.0,39.4,97.2,0.405,,,,39.4,97.2,0.405,21.8,28.2,0.773,,,51.2,22.6,,,,19.2,100.6,1972,,True
Chicago Bulls,4.0,240.0,42.0,98.3,0.427,,,,42.0,98.3,0.427,16.5,21.0,0.786,,,50.8,23.3,,,,25.3,100.5,1972,,True
Baltimore Bullets,6.0,244.2,36.2,83.0,0.436,,,,36.2,83.0,0.436,24.5,30.8,0.795,,,45.2,19.3,,,,25.5,96.8,1972,,True
League Average,9.0,241.4,41.9,94.0,0.446,,,,41.9,94.0,0.446,23.0,30.2,0.762,,,50.7,22.2,,,,23.1,106.9,1972,,True
Carolina Cougars,84.0,240.0,45.2,91.2,0.495,0.6,2.1,0.3,44.5,89.0,0.5,24.6,34.0,0.722,16.0,31.0,47.0,24.9,,,21.4,28.5,115.6,1973,True,False
Utah Stars,84.0,241.2,43.5,89.3,0.488,1.3,4.0,0.313,42.3,85.3,0.496,27.3,34.4,0.794,15.1,34.4,49.5,23.4,,,18.8,26.7,115.6,1973,True,False
Indiana Pacers,84.0,242.4,43.7,94.6,0.461,2.0,6.6,0.312,41.6,88.1,0.473,25.3,34.2,0.739,19.2,35.0,54.2,22.1,,,19.2,24.5,114.7,1973,True,False
Virginia Squires,84.0,237.7,44.3,92.3,0.48,0.5,2.2,0.215,43.8,90.1,0.486,25.0,33.2,0.753,16.8,31.1,47.9,24.2,,,21.7,27.6,114.1,1973,True,False
Kentucky Colonels,84.0,240.0,44.9,94.0,0.477,1.0,3.5,0.277,43.9,90.5,0.485,21.2,29.2,0.725,16.4,33.1,49.6,27.2,,,16.2,23.5,111.9,1973,True,False
Memphis Tams,84.0,241.5,43.1,92.4,0.466,1.1,4.0,0.28,42.0,88.4,0.475,24.3,32.4,0.749,17.7,32.1,49.9,23.1,,,18.3,27.9,111.5,1973,False,False
Dallas Chaparrals,84.0,242.1,41.7,91.0,0.458,1.7,5.2,0.33,39.9,85.8,0.466,25.7,34.1,0.754,16.7,31.1,47.8,22.6,,,18.0,25.5,110.7,1973,False,False
Denver Rockets,84.0,238.6,40.9,89.3,0.458,0.9,3.6,0.246,40.0,85.7,0.467,26.8,35.6,0.753,17.3,31.8,49.1,23.0,,,19.0,26.6,109.4,1973,True,False
San Diego Conquistadors,84.0,241.5,42.2,95.3,0.442,1.2,4.3,0.274,41.0,91.0,0.45,23.5,32.0,0.734,18.5,29.9,48.4,23.0,,,17.9,25.5,109.0,1973,True,False
New York Nets,84.0,240.6,40.5,84.2,0.481,0.6,2.1,0.282,39.9,82.1,0.486,22.0,29.9,0.737,13.8,31.8,45.6,22.6,,,20.2,25.1,103.6,1973,True,False
League Average,84.0,240.6,43.0,91.4,0.47,1.1,3.8,0.289,41.9,87.6,0.478,24.6,32.9,0.746,16.7,32.1,48.9,23.6,,,19.1,26.1,111.6,1973,False,False
Carolina Cougars,12.0,242.1,41.6,88.3,0.471,0.8,2.9,0.286,40.8,85.3,0.478,24.0,33.7,0.713,,,48.6,19.4,,,19.9,27.5,108.0,1973,,True
Utah Stars,10.0,240.0,41.3,86.2,0.479,0.5,2.8,0.179,40.8,83.4,0.489,24.2,29.8,0.812,,,50.3,21.1,,,20.0,27.8,107.3,1973,,True
Kentucky Colonels,19.0,242.6,40.6,87.7,0.463,1.9,5.9,0.319,38.7,81.8,0.474,21.3,28.3,0.753,,,45.1,22.5,,,16.2,25.3,104.5,1973,,True
New York Nets,5.0,245.0,39.6,77.8,0.509,0.6,2.4,0.25,39.0,75.4,0.517,24.6,35.0,0.703,,,41.0,18.6,,,19.2,28.4,104.4,1973,,True
Virginia Squires,5.0,245.0,38.6,81.4,0.474,0.6,2.4,0.25,38.0,79.0,0.481,25.4,31.6,0.804,,,43.8,19.4,,,24.2,24.6,103.2,1973,,True
Indiana Pacers,18.0,241.4,38.8,89.8,0.432,1.5,6.2,0.241,37.3,83.6,0.446,23.6,31.1,0.76,,,52.4,20.7,,,15.9,25.6,102.7,1973,,True
Denver Rockets,5.0,240.0,36.6,92.2,0.397,0.4,3.4,0.118,36.2,88.8,0.408,24.6,33.2,0.741,,,50.8,18.0,,,16.4,28.0,98.2,1973,,True
San Diego Conquistadors,4.0,240.0,36.3,98.0,0.37,2.5,7.5,0.333,33.8,90.5,0.373,19.8,28.5,0.693,,,51.8,16.0,,,19.3,23.0,94.8,1973,,True
League Average,10.0,241.9,39.8,87.9,0.452,1.2,4.6,0.267,38.5,83.3,0.463,23.2,30.9,0.751,,,48.4,20.4,,,18.1,26.2,104.0,1973,,True
Houston Rockets,82.0,240.0,46.0,100.6,0.457,,,,46.0,100.6,0.457,20.8,26.2,0.793,,,49.5,23.6,,,18.5,23.8,112.8,1973,False,False
Boston Celtics,82.0,240.6,46.5,103.8,0.448,,,,46.5,103.8,0.448,19.7,25.3,0.78,,,58.6,28.3,,,20.5,22.0,112.7,1973,True,False
Atlanta Hawks,82.0,241.8,45.1,98.0,0.461,,,,45.1,98.0,0.461,22.2,30.3,0.733,,,50.9,25.3,,,21.2,23.4,112.4,1973,True,False
Los Angeles Lakers,82.0,240.9,45.6,95.4,0.478,,,,45.6,95.4,0.478,20.5,27.6,0.742,,,55.6,28.1,,,22.3,20.0,111.7,1973,True,False
Phoenix Suns,82.0,240.9,44.0,96.9,0.455,,,,44.0,96.9,0.455,23.5,29.7,0.792,,,48.8,23.7,,,19.6,24.5,111.6,1973,False,False
Detroit Pistons,82.0,241.2,44.7,96.5,0.463,,,,44.7,96.5,0.463,20.9,28.0,0.745,,,50.1,23.0,,,21.2,22.1,110.3,1973,False,False
Golden State Warriors,82.0,240.6,45.3,99.5,0.455,,,,45.3,99.5,0.455,18.2,22.8,0.798,,,53.7,24.2,,,18.5,20.6,108.8,1973,True,False
Kansas City-Omaha Kings,82.0,241.2,44.2,92.5,0.478,,,,44.2,92.5,0.478,19.3,24.8,0.776,,,44.2,25.8,,,21.0,25.0,107.6,1973,False,False
Milwaukee Bucks,82.0,240.9,45.8,95.2,0.481,,,,45.8,95.2,0.481,15.5,20.6,0.753,,,51.8,27.1,,,19.8,21.5,107.2,1973,True,False
Portland Trail Blazers,82.0,240.6,43.8,95.6,0.458,,,,43.8,95.6,0.458,18.7,26.0,0.719,,,47.9,25.6,,,20.3,24.0,106.2,1973,False,False
Baltimore Bullets,82.0,240.6,44.6,96.1,0.464,,,,44.6,96.1,0.464,15.8,21.2,0.743,,,51.3,25.0,,,19.1,20.4,105.0,1973,True,False
New York Knicks,82.0,240.6,44.2,94.7,0.467,,,,44.2,94.7,0.467,16.5,21.2,0.78,,,47.3,26.7,,,16.5,21.6,105.0,1973,True,False
Philadelphia 76ers,82.0,240.6,42.3,100.8,0.42,,,,42.3,100.8,0.42,19.5,26.0,0.75,,,50.9,20.6,,,20.9,24.2,104.1,1973,False,False
Chicago Bulls,82.0,241.5,42.4,95.5,0.444,,,,42.4,95.5,0.444,19.2,25.3,0.759,,,48.8,24.7,,,16.5,22.9,104.1,1973,True,False
Seattle SuperSonics,82.0,241.2,42.0,93.7,0.449,,,,42.0,93.7,0.449,19.6,25.4,0.772,,,50.7,23.9,,,21.2,22.9,103.7,1973,False,False
Buffalo Braves,82.0,240.6,43.1,96.1,0.449,,,,43.1,96.1,0.449,17.1,24.0,0.712,,,50.7,27.0,,,24.4,24.8,103.3,1973,False,False
Cleveland Cavaliers,82.0,241.8,41.8,96.1,0.435,,,,41.8,96.1,0.435,19.0,25.4,0.747,,,49.5,25.7,,,21.4,23.7,102.7,1973,False,False
League Average,82.0,240.9,44.2,96.9,0.456,,,,44.2,96.9,0.456,19.2,25.3,0.758,,,50.6,25.2,,,20.2,22.8,107.6,1973,False,False
Boston Celtics,13.0,243.8,44.5,97.0,0.459,,,,44.5,97.0,0.459,19.0,24.5,0.774,,,51.2,25.5,,,,24.0,108.1,1973,,True
Atlanta Hawks,6.0,240.0,45.8,105.8,0.433,,,,45.8,105.8,0.433,15.2,22.8,0.664,,,47.7,24.0,,,,22.7,106.8,1973,,True
New York Knicks,17.0,242.9,43.9,90.7,0.484,,,,43.9,90.7,0.484,16.1,21.5,0.748,,,44.5,23.3,,,,24.9,103.8,1973,,True
Los Angeles Lakers,17.0,241.5,41.2,90.8,0.454,,,,41.2,90.8,0.454,21.1,29.5,0.715,,,55.4,23.1,,,,22.2,103.4,1973,,True
Milwaukee Bucks,6.0,240.0,41.0,90.8,0.451,,,,41.0,90.8,0.451,17.2,23.3,0.736,,,44.5,21.2,,,,23.3,99.2,1973,,True
Chicago Bulls,7.0,243.6,40.4,98.0,0.413,,,,40.4,98.0,0.413,17.1,23.1,0.741,,,51.1,21.3,,,,23.6,98.0,1973,,True
Golden State Warriors,11.0,240.0,40.5,97.2,0.416,,,,40.5,97.2,0.416,17.0,21.1,0.806,,,51.0,21.3,,,,22.9,97.9,1973,,True
Baltimore Bullets,5.0,240.0,40.8,85.2,0.479,,,,40.8,85.2,0.479,14.0,20.4,0.686,,,42.4,18.6,,,,19.6,95.6,1973,,True
League Average,10.0,241.8,42.4,94.0,0.451,,,,42.4,94.0,0.451,17.7,23.9,0.74,,,49.4,22.8,,,,23.2,102.5,1973,,True
San Diego Conquistadors,84.0,241.5,46.5,105.1,0.443,2.6,8.8,0.293,43.9,96.3,0.456,17.6,23.3,0.753,17.0,32.6,49.6,23.6,8.3,6.1,15.7,19.5,113.2,1974,True,False
Carolina Cougars,84.0,242.4,44.2,91.2,0.485,0.3,1.7,0.179,43.9,89.5,0.491,21.7,29.1,0.746,16.2,29.3,45.6,24.1,12.0,3.8,19.6,27.1,110.5,1974,True,False
New York Nets,84.0,241.5,45.9,95.7,0.48,1.0,3.0,0.316,44.9,92.6,0.485,16.6,22.0,0.754,15.9,33.0,48.9,24.1,9.9,6.8,19.2,23.6,109.4,1974,True,False
Kentucky Colonels,84.0,240.9,43.8,96.1,0.456,1.2,4.2,0.278,42.7,92.0,0.464,18.6,24.9,0.748,17.7,34.9,52.6,25.0,7.7,5.6,17.5,21.1,107.4,1974,True,False
Denver Rockets,84.0,241.5,42.3,95.7,0.442,1.3,3.9,0.329,41.0,91.9,0.447,21.1,27.0,0.782,17.3,32.1,49.4,23.9,7.1,4.9,17.6,24.8,107.0,1974,True,False
Virginia Squires,84.0,241.2,40.8,90.3,0.452,0.9,3.4,0.262,39.9,86.9,0.459,23.9,31.1,0.768,16.0,31.2,47.2,19.8,8.4,4.5,20.4,25.8,106.3,1974,True,False
Indiana Pacers,84.0,242.4,42.2,93.9,0.45,2.0,6.5,0.315,40.2,87.4,0.46,19.3,26.7,0.725,17.5,34.5,52.0,21.7,8.8,5.5,18.5,22.9,105.8,1974,True,False
Utah Stars,84.0,241.8,42.7,88.4,0.483,1.1,4.1,0.272,41.5,84.2,0.493,18.6,23.6,0.789,13.7,31.4,45.2,22.3,8.4,4.2,17.0,23.1,105.1,1974,True,False
Memphis Tams,84.0,241.2,41.0,89.4,0.459,0.9,3.5,0.269,40.1,85.9,0.467,18.2,24.1,0.757,16.7,31.2,47.9,22.9,7.4,4.1,17.9,24.8,101.2,1974,False,False
San Antonio Spurs,84.0,242.4,39.8,87.5,0.455,0.6,2.9,0.212,39.2,84.6,0.463,17.4,22.4,0.778,14.7,31.5,46.2,21.5,7.1,2.7,15.8,26.2,97.6,1974,True,False
League Average,84.0,241.7,42.9,93.3,0.46,1.2,4.2,0.283,41.7,89.1,0.468,19.3,25.4,0.76,16.3,32.2,48.5,22.9,8.5,4.8,17.9,23.9,106.4,1974,False,False
New York Nets,14.0,241.8,45.6,94.2,0.484,1.0,3.0,0.333,44.6,91.2,0.489,14.7,19.7,0.746,16.9,34.5,51.4,24.5,9.8,5.8,17.1,23.5,106.9,1974,,True
Carolina Cougars,4.0,240.0,43.8,101.3,0.432,1.8,5.3,0.333,42.0,96.0,0.438,17.5,25.0,0.7,17.5,26.3,43.8,19.5,9.3,1.5,13.5,30.0,106.8,1974,,True
Kentucky Colonels,8.0,240.0,40.9,88.5,0.462,2.5,5.6,0.444,38.4,82.9,0.463,19.3,26.8,0.72,16.1,36.8,52.9,23.8,5.9,7.0,20.3,18.5,103.5,1974,,True
Utah Stars,18.0,241.4,43.6,93.3,0.467,0.6,3.1,0.196,42.9,90.2,0.476,14.4,18.6,0.778,14.9,33.7,48.6,22.3,7.6,3.9,14.3,20.3,102.2,1974,,True
Virginia Squires,5.0,240.0,41.0,94.8,0.432,0.8,5.8,0.138,40.2,89.0,0.452,18.4,23.0,0.8,19.4,27.4,46.8,18.2,8.2,3.6,21.4,25.2,101.2,1974,,True
San Antonio Spurs,7.0,240.0,40.6,83.7,0.485,0.3,1.9,0.154,40.3,81.9,0.492,18.4,23.7,0.777,15.1,32.6,47.7,19.4,6.0,4.3,15.1,26.6,99.9,1974,,True
Indiana Pacers,14.0,240.0,37.6,84.9,0.444,2.9,8.8,0.333,34.7,76.1,0.456,21.4,28.4,0.754,15.9,30.2,46.1,19.9,8.1,3.9,13.7,21.6,99.6,1974,,True
San Diego Conquistadors,6.0,240.0,42.8,100.3,0.427,3.5,9.3,0.375,39.3,91.0,0.432,9.7,13.2,0.734,17.7,31.8,49.5,21.3,6.7,5.2,14.5,16.7,98.8,1974,,True
League Average,10.0,240.7,42.1,91.6,0.459,1.6,5.1,0.312,40.5,86.5,0.468,16.7,22.1,0.754,16.2,32.5,48.7,21.7,7.8,4.6,15.8,22.1,102.4,1974,,True
Buffalo Braves,82.0,241.8,45.5,94.7,0.48,,,,45.5,94.7,0.48,20.7,27.1,0.765,14.0,34.5,48.5,26.4,9.6,7.3,22.3,22.9,111.6,1974,True,False
Golden State Warriors,82.0,240.3,45.4,97.8,0.464,,,,45.4,97.8,0.464,19.1,24.6,0.778,16.8,37.0,53.8,24.3,8.1,5.5,20.3,23.1,109.9,1974,False,False
Los Angeles Lakers,82.0,240.9,43.1,95.2,0.453,,,,43.1,95.2,0.453,22.9,29.8,0.769,16.6,36.2,52.9,26.6,9.7,8.0,23.3,24.8,109.2,1974,True,False
Boston Celtics,82.0,241.2,44.3,97.2,0.456,,,,44.3,97.2,0.456,20.5,25.6,0.8,16.8,37.5,54.3,26.7,6.8,3.7,21.9,22.8,109.0,1974,True,False
Atlanta Hawks,82.0,240.9,43.9,94.4,0.465,,,,43.9,94.4,0.465,20.8,27.6,0.752,15.1,33.1,48.2,24.3,9.2,4.0,22.2,25.3,108.6,1974,False,False
Phoenix Suns,82.0,240.9,43.4,94.2,0.46,,,,43.4,94.2,0.46,21.2,27.3,0.777,13.3,33.2,46.5,25.0,8.0,3.7,20.3,25.9,107.9,1974,False,False
Houston Rockets,82.0,242.1,43.5,90.6,0.48,,,,43.5,90.6,0.48,20.5,25.3,0.812,13.0,31.6,44.5,27.0,8.9,5.0,20.5,25.7,107.4,1974,False,False
Milwaukee Bucks,82.0,240.9,45.4,92.3,0.492,,,,45.4,92.3,0.492,16.2,21.2,0.763,13.8,35.1,49.0,27.1,8.9,6.3,20.7,22.7,107.1,1974,True,False
Seattle SuperSonics,82.0,240.9,43.7,98.2,0.445,,,,43.7,98.2,0.445,19.6,25.5,0.767,16.1,33.0,49.1,25.7,8.4,3.6,19.8,25.3,107.0,1974,False,False
Portland Trail Blazers,82.0,240.6,43.7,93.7,0.467,,,,43.7,93.7,0.467,19.4,25.8,0.753,15.3,31.7,47.0,25.7,9.7,4.2,22.2,25.0,106.8,1974,False,False
Detroit Pistons,82.0,240.9,42.1,91.6,0.459,,,,42.1,91.6,0.459,20.2,26.4,0.764,14.6,32.7,47.3,23.9,9.7,5.1,21.5,23.5,104.4,1974,True,False
Kansas City-Omaha Kings,82.0,240.3,41.1,89.5,0.459,,,,41.1,89.5,0.459,19.9,25.7,0.774,13.6,31.1,44.7,21.3,9.7,4.7,21.8,23.4,102.0,1974,False,False
Chicago Bulls,82.0,241.2,40.1,90.0,0.446,,,,40.1,90.0,0.446,21.8,28.2,0.771,13.9,31.9,45.8,22.8,9.3,3.9,20.6,22.9,102.0,1974,True,False
Capital Bullets,82.0,240.6,42.4,96.2,0.441,,,,42.4,96.2,0.441,17.0,22.8,0.745,15.7,35.2,50.9,21.6,8.6,5.4,19.1,21.3,101.9,1974,True,False
New York Knicks,82.0,241.2,42.4,91.3,0.465,,,,42.4,91.3,0.465,16.5,21.2,0.777,11.7,33.2,44.9,23.6,6.8,3.4,17.8,23.0,101.3,1974,True,False
Philadelphia 76ers,82.0,240.6,40.6,93.9,0.432,,,,40.6,93.9,0.432,19.9,25.8,0.771,14.4,32.0,46.4,21.9,9.2,2.7,20.3,24.0,101.2,1974,False,False
Cleveland Cavaliers,82.0,240.9,41.7,94.9,0.439,,,,41.7,94.9,0.439,16.8,21.8,0.772,15.5,30.4,45.9,25.0,7.3,3.6,18.8,23.5,100.3,1974,False,False
League Average,82.0,241.0,43.1,93.9,0.459,,,,43.1,93.9,0.459,19.6,25.4,0.771,14.7,33.5,48.2,24.6,8.7,4.7,20.8,23.8,105.7,1974,False,False
Buffalo Braves,6.0,240.0,43.8,98.3,0.446,,,,43.8,98.3,0.446,16.3,22.2,0.737,13.2,36.5,49.7,23.3,5.5,4.7,18.7,20.7,104.0,1974,,True
Boston Celtics,18.0,244.2,42.3,94.3,0.448,,,,42.3,94.3,0.448,17.9,22.1,0.809,13.6,34.9,48.5,25.5,6.8,2.8,18.1,23.5,102.4,1974,,True
Milwaukee Bucks,16.0,244.7,43.7,87.8,0.498,,,,43.7,87.8,0.498,13.6,17.9,0.762,13.0,35.1,48.1,26.1,6.3,4.8,19.6,23.4,101.0,1974,,True
Capital Bullets,7.0,243.6,39.7,86.9,0.457,,,,39.7,86.9,0.457,15.7,21.7,0.724,13.6,33.6,47.1,17.9,5.9,4.0,16.9,21.4,95.1,1974,,True
Detroit Pistons,7.0,240.0,39.1,83.0,0.472,,,,39.1,83.0,0.472,16.7,21.9,0.765,12.9,34.1,47.0,18.6,3.6,4.4,17.9,24.7,95.0,1974,,True
New York Knicks,12.0,242.1,39.2,90.3,0.434,,,,39.2,90.3,0.434,16.1,19.9,0.808,12.0,29.8,41.8,17.7,5.9,2.6,15.6,24.6,94.4,1974,,True
Chicago Bulls,11.0,240.0,37.6,89.0,0.423,,,,37.6,89.0,0.423,18.7,24.0,0.78,14.4,28.5,42.8,20.1,7.8,3.5,14.2,20.1,94.0,1974,,True
Los Angeles Lakers,5.0,240.0,36.8,94.6,0.389,,,,36.8,94.6,0.389,19.4,25.6,0.758,18.8,29.0,47.8,21.4,9.8,2.8,20.6,20.6,93.0,1974,,True
League Average,10.0,242.4,40.8,90.4,0.451,,,,40.8,90.4,0.451,16.6,21.4,0.776,13.6,32.9,46.5,22.1,6.4,3.6,17.6,22.7,98.1,1974,,True
Denver Nuggets,84.0,242.1,47.1,92.4,0.509,0.3,1.2,0.216,46.8,91.2,0.513,24.3,30.3,0.802,15.3,30.1,45.4,29.2,11.6,6.0,21.7,24.6,118.7,1975,True,False
San Antonio Spurs,84.0,241.5,45.0,94.2,0.478,0.5,1.9,0.261,44.5,92.3,0.482,22.9,28.3,0.812,17.4,33.3,50.7,22.3,8.3,4.4,16.9,24.3,113.4,1975,True,False
Indiana Pacers,84.0,241.2,46.3,99.6,0.465,2.7,8.5,0.312,43.7,91.0,0.48,17.4,23.4,0.744,19.9,30.5,50.5,22.9,10.6,4.9,18.4,23.2,112.8,1975,True,False
New York Nets,84.0,242.7,46.2,94.6,0.488,0.8,3.0,0.274,45.4,91.6,0.495,17.9,23.0,0.778,14.5,33.0,47.5,23.9,10.9,6.1,16.7,23.2,111.0,1975,True,False
San Diego Conquistadors,84.0,242.7,45.8,99.4,0.46,1.5,5.6,0.262,44.3,93.8,0.472,16.9,22.0,0.767,16.2,31.8,48.0,25.0,8.2,5.3,17.1,21.2,109.9,1975,False,False
Spirits of St. Louis,84.0,241.2,44.9,95.3,0.471,0.4,1.6,0.228,44.5,93.7,0.475,18.8,25.4,0.741,18.9,32.3,51.1,25.1,9.3,4.7,20.7,24.4,109.0,1975,True,False
Kentucky Colonels,84.0,242.4,44.4,92.7,0.48,0.6,2.3,0.283,43.8,90.4,0.484,19.4,26.6,0.73,16.7,34.4,51.1,25.9,8.7,6.1,18.8,24.0,108.9,1975,True,False
Memphis Sounds,84.0,242.4,42.6,93.1,0.457,2.1,5.9,0.356,40.5,87.2,0.464,16.3,21.0,0.775,14.3,29.2,43.5,24.2,8.1,4.1,13.8,20.5,103.5,1975,True,False
Utah Stars,84.0,241.2,40.2,85.0,0.473,1.1,3.6,0.313,39.1,81.4,0.48,19.8,25.7,0.77,15.2,32.1,47.3,21.1,7.1,4.4,19.9,22.9,101.3,1975,True,False
