Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Playoffs,Playoffs_S
Philadelphia Warriors,9.0,240.0,45.4,111.1,0.409,,,,45.4,111.1,0.409,23.0,37.2,0.618,,,77.8,22.4,,,,24.7,113.9,1960,,True
Boston Celtics,13.0,240.0,44.6,113.9,0.392,,,,44.6,113.9,0.392,23.9,31.3,0.764,,,77.2,20.6,,,,24.2,113.2,1960,,True
Syracuse Nationals,3.0,240.0,42.3,111.3,0.38,,,,42.3,111.3,0.38,25.0,29.7,0.843,,,70.0,19.0,,,,25.0,109.7,1960,,True
St. Louis Hawks,14.0,241.8,39.8,95.3,0.418,,,,39.8,95.3,0.418,26.2,35.4,0.74,,,67.4,27.6,,,,25.0,105.8,1960,,True
Detroit Pistons,2.0,240.0,39.0,107.5,0.363,,,,39.0,107.5,0.363,27.5,35.5,0.775,,,74.5,20.0,,,,25.5,105.5,1960,,True
Minneapolis Lakers,9.0,242.8,39.2,97.0,0.404,,,,39.2,97.0,0.404,25.7,34.4,0.745,,,64.2,23.2,,,,27.3,104.1,1960,,True
League Average,8.0,241.0,42.1,104.7,0.402,,,,42.1,104.7,0.402,24.9,34.2,0.73,,,71.7,23.2,,,,25.2,109.1,1960,,True
Syracuse Nationals,79.0,,46.3,110.7,0.418,,,,46.3,110.7,0.418,28.8,37.3,0.773,,,72.5,22.6,,,,28.9,121.3,1961,True,False
Philadelphia Warriors,79.0,,47.7,112.4,0.424,,,,47.7,112.4,0.424,25.6,39.3,0.651,,,75.2,24.8,,,,24.5,121.0,1961,True,False
Boston Celtics,79.0,,46.8,117.7,0.398,,,,46.8,117.7,0.398,26.1,35.5,0.735,,,77.6,23.7,,,,25.7,119.7,1961,True,False
St. Louis Hawks,79.0,,45.8,111.3,0.411,,,,45.8,111.3,0.411,27.2,37.0,0.735,,,75.9,27.0,,,,27.0,118.8,1961,True,False
Detroit Pistons,79.0,,44.1,105.8,0.417,,,,44.1,105.8,0.417,30.5,41.0,0.743,,,73.6,23.6,,,,27.3,118.6,1961,True,False
Cincinnati Royals,79.0,,45.9,104.8,0.438,,,,45.9,104.8,0.438,26.1,34.9,0.746,,,70.6,26.7,,,,27.3,117.9,1961,False,False
Los Angeles Lakers,79.0,,43.1,106.7,0.403,,,,43.1,106.7,0.403,27.9,38.0,0.735,,,73.6,21.9,,,,25.9,114.0,1961,True,False
New York Knicks,79.0,,43.3,105.7,0.41,,,,43.3,105.7,0.41,27.0,35.9,0.752,,,67.3,23.1,,,,28.1,113.7,1961,False,False
League Average,79.0,,45.4,109.4,0.415,,,,45.4,109.4,0.415,27.4,37.4,0.733,,,73.3,24.2,,,,26.8,118.1,1961,False,False
Boston Celtics,10.0,240.0,45.1,109.2,0.413,,,,45.1,109.2,0.413,30.5,42.2,0.723,,,82.1,24.7,,,,29.0,120.7,1961,,True
Los Angeles Lakers,12.0,242.1,43.8,102.4,0.428,,,,43.8,102.4,0.428,29.9,40.1,0.746,,,73.0,24.1,,,,27.5,117.6,1961,,True
Detroit Pistons,5.0,240.0,43.6,107.2,0.407,,,,43.6,107.2,0.407,30.2,40.4,0.748,,,65.4,26.2,,,,28.8,117.4,1961,,True
St. Louis Hawks,12.0,242.1,43.1,108.3,0.398,,,,43.1,108.3,0.398,25.8,35.6,0.724,,,67.9,24.0,,,,27.6,111.9,1961,,True
Syracuse Nationals,8.0,240.0,39.6,106.1,0.373,,,,39.6,106.1,0.373,31.1,38.9,0.801,,,75.5,20.0,,,,31.5,110.4,1961,,True
Philadelphia Warriors,3.0,240.0,39.7,106.3,0.373,,,,39.7,106.3,0.373,28.7,46.3,0.619,,,70.0,20.7,,,,28.7,108.0,1961,,True
League Average,8.0,241.0,43.0,106.5,0.403,,,,43.0,106.5,0.403,29.2,39.6,0.736,,,73.1,23.5,,,,28.7,115.1,1961,,True
Philadelphia Warriors,80.0,,49.0,111.6,0.439,,,,49.0,111.6,0.439,27.5,40.1,0.686,,,74.2,25.9,,,,25.2,125.4,1962,True,False
