Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Arena,Attend.,Attend./G,Year,Playoffs,Playoffs_S,W/L%
Boston Celtics,,22.0,38.0,15.0,45.0,-4.88,0.44,-4.45,,,,,0.268,,0.314,0.272,,,0.158,,,,,Boston Garden,108240.0,,1947,False,False,
Chicago Stags,,39.0,22.0,41.0,20.0,3.67,-0.3,3.34,,,,,0.246,,0.336,0.298,,,0.149,,,,,Chicago Stadium,,,1947,True,False,
Cleveland Rebels,,30.0,30.0,27.0,33.0,-0.95,0.08,-0.86,,,,,0.251,,0.336,0.294,,,0.158,,,,,Cleveland Arena,,,1947,True,False,
Detroit Falcons,,20.0,40.0,24.0,36.0,-2.0,0.18,-1.83,,,,,0.256,,0.292,0.246,,,0.158,,,,,Detroit Olympia,,,1947,False,False,
New York Knicks,,33.0,27.0,32.0,28.0,0.65,-0.07,0.58,,,,,0.274,,0.33,0.279,,,0.181,,,,,Madison Square Garden (III),,505.0,1947,True,False,
Philadelphia Warriors,,35.0,25.0,40.0,20.0,3.48,-0.32,3.16,,,,,0.296,,0.338,0.28,,,0.204,,,,,Philadelphia Arena,,,1947,True,False,
Pittsburgh Ironmen,,15.0,45.0,12.0,48.0,-6.38,0.57,-5.81,,,,,0.304,,0.327,0.271,,,0.198,,,,,Duquesne Gardens,,,1947,False,False,
Providence Steamrollers,,28.0,32.0,25.0,35.0,-1.67,0.15,-1.54,,,,,0.298,,0.344,0.292,,,0.196,,,,,Rhode Island Auditorium,,,1947,False,False,
St. Louis Bombers,,38.0,23.0,39.0,22.0,2.51,-0.18,2.34,,,,,0.238,,0.313,0.272,,,0.147,,,,,St. Louis Arena,,,1947,True,False,
Toronto Huskies,,22.0,38.0,17.0,43.0,-4.43,0.39,-4.02,,,,,0.274,,0.314,0.267,,,0.17,,,,,Maple Leaf Gardens,,,1947,False,False,
Washington Capitols,,49.0,11.0,53.0,7.0,9.87,-0.91,8.99,,,,,0.24,,0.346,0.297,,,0.169,,,,,Uline Arena,,,1947,True,False,
League Average,,,,30.0,31.0,0.0,0.0,0.0,,,,,0.267,,0.326,0.279,,,0.171,,,,,,108240.0,46.0,1947,False,False,
Chicago Stags,,5.0,6.0,6.0,5.0,,,,,,,,0.241,,0.295,0.252,,,0.148,,,,,,,,1947,,True,0.455
Cleveland Rebels,,1.0,2.0,1.0,2.0,,,,,,,,0.276,,0.369,0.313,,,0.201,,,,,,,,1947,,True,0.333
New York Knicks,,2.0,3.0,1.0,4.0,,,,,,,,0.264,,0.316,0.272,,,0.162,,,,,,,,1947,,True,0.4
Philadelphia Warriors,,8.0,2.0,8.0,2.0,,,,,,,,0.303,,0.349,0.278,,,0.234,,,,,,,,1947,,True,0.8
St. Louis Bombers,,1.0,2.0,2.0,1.0,,,,,,,,0.201,,0.308,0.275,,,0.121,,,,,,,,1947,,True,0.333
Washington Capitols,,2.0,4.0,2.0,4.0,,,,,,,,0.287,,0.302,0.235,,,0.211,,,,,,,,1947,,True,0.333
League Average,,,,3.0,3.0,,,,,,,,0.266,,0.319,0.265,,,0.182,,,,,,,,1947,,True,
Baltimore Bullets,,28.0,20.0,33.0,15.0,3.85,-0.16,3.69,,,,,0.337,,0.363,0.301,,,0.232,,,,,Baltimore Coliseum,,,1948,True,False,
Boston Celtics,,20.0,28.0,15.0,33.0,-3.92,0.16,-3.76,,,,,0.288,,0.339,0.287,,,0.19,,,,,Boston Garden,90264.0,187.0,1948,True,False,
Chicago Stags,,28.0,20.0,30.0,18.0,2.65,0.01,2.66,,,,,0.279,,0.346,0.297,,,0.184,,,,,Chicago Stadium,,,1948,True,False,
New York Knicks,,26.0,22.0,31.0,17.0,3.15,-0.85,2.3,,,,,0.273,,0.338,0.287,,,0.184,,,,,Madison Square Garden (III),,,1948,True,False,
Philadelphia Warriors,,27.0,21.0,27.0,21.0,1.27,-0.58,0.69,,,,,0.277,,0.322,0.262,,,0.198,,,,,Philadelphia Arena,,,1948,True,False,
Providence Steamrollers,,6.0,42.0,5.0,43.0,-11.56,1.25,-10.31,,,,,0.275,,0.32,0.274,,,0.169,,,,,Rhode Island Auditorium,,239.0,1948,False,False,
St. Louis Bombers,,29.0,19.0,29.0,19.0,2.02,0.1,2.12,,,,,0.273,,0.337,0.285,,,0.184,,,,,St. Louis Arena,,,1948,True,False,
Washington Capitols,,28.0,20.0,30.0,18.0,2.54,0.03,2.57,,,,,0.251,,0.333,0.279,,,0.181,,,,,Uline Arena,,,1948,True,False,
League Average,,,,25.0,23.0,0.0,-0.01,-0.01,,,,,0.281,,0.337,0.284,,,0.19,,,,,,90264.0,52.0,1948,False,False,
Baltimore Bullets,,8.0,3.0,7.0,4.0,,,,,,,,0.401,,0.369,0.287,,,0.294,,,,,,,,1948,,True,0.727
Boston Celtics,,1.0,2.0,1.0,2.0,,,,,,,,0.456,,0.375,0.298,,,0.306,,,,,,,,1948,,True,0.333
Chicago Stags,,2.0,3.0,2.0,3.0,,,,,,,,0.383,,0.35,0.278,,,0.261,,,,,,,,1948,,True,0.4
New York Knicks,,1.0,2.0,1.0,2.0,,,,,,,,0.399,,0.398,0.336,,,0.265,,,,,,,,1948,,True,0.333
Philadelphia Warriors,,6.0,7.0,10.0,3.0,,,,,,,,0.314,,0.321,0.255,,,0.221,,,,,,,,1948,,True,0.462
St. Louis Bombers,,3.0,4.0,1.0,6.0,,,,,,,,0.247,,0.296,0.244,,,0.169,,,,,,,,1948,,True,0.429
League Average,,,,4.0,3.0,,,,,,,,0.348,,0.342,0.272,,,0.244,,,,,,,,1948,,True,
Baltimore Bullets,,29.0,31.0,33.0,27.0,1.38,-0.23,1.15,,,,,0.398,,0.414,0.336,,,0.299,,,,,Baltimore Coliseum,,,1949,True,False,
Boston Celtics,,25.0,35.0,22.0,38.0,-2.92,0.16,-2.76,,,,,0.339,,0.365,0.311,,,0.215,,,,,Boston Garden,144275.0,,1949,False,False,
Chicago Stags,,38.0,22.0,40.0,20.0,4.0,-0.27,3.73,,,,,0.309,,0.386,0.331,,,0.214,,,,,Chicago Stadium,,,1949,True,False,
Fort Wayne Pistons,,22.0,38.0,21.0,39.0,-3.23,0.38,-2.85,,,,,0.369,,0.357,0.286,,,0.258,,,,,North Side High School Gym,,,1949,False,False,
Indianapolis Jets,,18.0,42.0,18.0,42.0,-4.72,0.52,-4.2,,,,,0.335,,0.364,0.302,,,0.231,,,,,Hinkle Fieldhouse,,,1949,False,False,
Minneapolis Lakers,,44.0,16.0,47.0,13.0,7.38,-0.58,6.8,,,,,0.342,,0.426,0.366,,,0.247,,,,,Minneapolis Auditorium,,,1949,True,False,
New York Knicks,,32.0,28.0,34.0,26.0,1.48,-0.24,1.24,,,,,0.374,,0.39,0.322,,,0.263,,,,,Madison Square Garden (III),,,1949,True,False,
Philadelphia Warriors,,28.0,32.0,31.0,29.0,0.35,-0.14,0.21,,,,,0.333,,0.385,0.322,,,0.239,,,,,Philadelphia Arena,,,1949,True,False,
Providence Steamrollers,,12.0,48.0,11.0,49.0,-9.13,0.73,-8.44,,,,,0.321,,0.38,0.322,,,0.222,,,,,Rhode Island Auditorium,,,1949,False,False,
Rochester Royals,,45.0,15.0,46.0,14.0,6.63,-0.51,6.12,,,,,0.423,,0.437,0.372,,,0.292,,,,,Edgerton Park Arena,,,1949,True,False,
St. Louis Bombers,,29.0,31.0,21.0,39.0,-3.63,0.42,-3.21,,,,,0.364,,0.403,0.341,,,0.253,,,,,St. Louis Arena,,,1949,True,False,
Washington Capitols,,38.0,22.0,36.0,24.0,2.43,-0.33,2.11,,,,,0.35,,0.389,0.32,,,0.257,,,,,Uline Arena,,,1949,True,False,
League Average,,,,30.0,30.0,0.0,-0.01,-0.01,,,,,0.353,,0.39,0.327,,,0.248,,,,,,144275.0,,1949,False,False,
Baltimore Bullets,,1.0,2.0,1.0,2.0,,,,,,,,0.617,,0.442,0.322,,,0.48,,,,,,,,1949,,True,0.333
Chicago Stags,,0.0,2.0,0.0,2.0,,,,,,,,0.284,,0.335,0.274,,,0.205,,,,,,,,1949,,True,0.0
Minneapolis Lakers,,8.0,2.0,8.0,2.0,,,,,,,,0.429,,0.435,0.36,,,0.316,,,,,,,,1949,,True,0.8
New York Knicks,,3.0,3.0,3.0,3.0,,,,,,,,0.54,,0.425,0.33,,,0.393,,,,,,,,1949,,True,0.5
Philadelphia Warriors,,0.0,2.0,0.0,2.0,,,,,,,,0.332,,0.329,0.265,,,0.224,,,,,,,,1949,,True,0.0
Rochester Royals,,2.0,2.0,3.0,1.0,,,,,,,,0.38,,0.423,0.357,,,0.273,,,,,,,,1949,,True,0.5
St. Louis Bombers,,0.0,2.0,0.0,2.0,,,,,,,,0.247,,0.365,0.342,,,0.127,,,,,,,,1949,,True,0.0
Washington Capitols,,6.0,5.0,5.0,6.0,,,,,,,,0.419,,0.392,0.318,,,0.293,,,,,,,,1949,,True,0.545
League Average,,,,3.0,2.0,,,,,,,,0.427,,0.405,0.329,,,0.306,,,,,,,,1949,,True,
New York Knicks,,40.0,28.0,40.0,28.0,2.12,0.41,2.53,,,,,0.449,,0.428,0.353,,,0.32,,,,,Madison Square Garden (III),,,1950,True,False,
Washington Capitols,,32.0,36.0,31.0,37.0,-0.94,0.66,-0.28,,,,,0.384,,0.405,0.33,,,0.287,,,,,Uline Arena,,,1950,True,False,
Waterloo Hawks,,19.0,43.0,17.0,45.0,-5.53,-0.43,-5.96,,,,,0.408,,0.425,0.356,,,0.291,,,,,McElroy Auditorium,,,1950,False,False,
Tri-Cities Blackhawks,,29.0,35.0,30.0,34.0,-0.59,-0.84,-1.43,,,,,0.418,,0.407,0.33,,,0.304,,,,,Wharton Field House,,,1950,True,False,
Syracuse Nationals,,51.0,13.0,51.0,13.0,8.14,-1.7,6.48,,,,,0.454,,0.429,0.354,,,0.321,,,,,State Fair Coliseum,,,1950,True,False,
St. Louis Bombers,,26.0,42.0,25.0,43.0,-2.82,0.81,-2.01,,,,,0.423,,0.415,0.342,,,0.3,,,,,St. Louis Arena,,,1950,False,False,
Sheboygan Red Skins,,22.0,40.0,18.0,44.0,-5.4,-0.44,-5.85,,,,,0.466,,0.422,0.344,,,0.329,,,,,Sheboygan Municipal Auditorium and Armory,,,1950,True,False,
Rochester Royals,,51.0,17.0,54.0,14.0,7.76,-0.05,7.72,,,,,0.442,,0.447,0.373,,,0.322,,,,,Edgerton Park Arena,,,1950,True,False,
Philadelphia Warriors,,26.0,42.0,24.0,44.0,-3.1,0.84,-2.27,,,,,0.357,,0.377,0.312,,,0.25,,,,,Philadelphia Arena,,,1950,True,False,
Anderson Packers,,37.0,27.0,42.0,22.0,3.8,-1.38,2.42,,,,,0.375,,0.384,0.311,,,0.272,,,,,Anderson High School Wigwam,,,1950,True,False,
Minneapolis Lakers,,51.0,17.0,55.0,13.0,8.34,-0.09,8.25,,,,,0.333,,0.427,0.367,,,0.247,,,,,Minneapolis Auditorium,,,1950,True,False,
Indianapolis Olympians,,39.0,25.0,42.0,22.0,3.7,-1.15,2.59,,,,,0.406,,0.441,0.375,,,0.289,,,,,Hinkle Fieldhouse,,,1950,True,False,
Fort Wayne Pistons,,40.0,28.0,38.0,30.0,1.37,0.47,1.84,,,,,0.395,,0.389,0.318,,,0.277,,,,,North Side High School Gym,,,1950,True,False,
Denver Nuggets,,11.0,51.0,8.0,54.0,-11.5,0.18,-11.31,,,,,0.386,,0.397,0.334,,,0.261,,,,,Denver Auditorium Arena,,,1950,False,False,
Chicago Stags,,40.0,28.0,39.0,29.0,1.6,0.45,2.06,,,,,0.328,,0.397,0.34,,,0.228,,,,,Chicago Stadium,,,1950,True,False,
Boston Celtics,,22.0,46.0,27.0,41.0,-2.5,0.79,-1.73,,,,,0.376,,0.404,0.338,,,0.266,,,,,Boston Garden,110552.0,,1950,False,False,
Baltimore Bullets,,25.0,43.0,18.0,50.0,-5.59,1.04,-4.55,,,,,0.385,,0.385,0.31,,,0.281,,,,,Baltimore Coliseum,,,1950,False,False,
League Average,,,,33.0,33.0,0.0,0.0,0.0,,,,,0.397,,0.41,0.34,,,0.284,,,,,,110552.0,,1950,False,False,
Anderson Packers,,4.0,4.0,4.0,4.0,,,,,,,,0.405,,0.375,0.289,,,0.304,,,,,,,,1950,,True,0.5
Chicago Stags,,0.0,2.0,0.0,2.0,,,,,,,,0.374,,0.415,0.34,,,0.286,,,,,,,,1950,,True,0.0
Fort Wayne Pistons,,2.0,2.0,1.0,3.0,,,,,,,,0.464,,0.405,0.32,,,0.337,,,,,,,,1950,,True,0.5
Indianapolis Olympians,,3.0,3.0,2.0,4.0,,,,,,,,0.481,,0.445,0.364,,,0.35,,,,,,,,1950,,True,0.5
Minneapolis Lakers,,10.0,2.0,10.0,2.0,,,,,,,,0.438,,0.441,0.368,,,0.318,,,,,,,,1950,,True,0.833
New York Knicks,,3.0,2.0,3.0,2.0,,,,,,,,0.566,,0.492,0.38,,,0.468,,,,,,,,1950,,True,0.6
Philadelphia Warriors,,0.0,2.0,0.0,2.0,,,,,,,,0.331,,0.352,0.306,,,0.194,,,,,,,,1950,,True,0.0
Rochester Royals,,0.0,2.0,1.0,1.0,,,,,,,,0.496,,0.471,0.383,,,0.383,,,,,,,,1950,,True,0.0
Sheboygan Red Skins,,1.0,2.0,2.0,1.0,,,,,,,,0.554,,0.459,0.385,,,0.372,,,,,,,,1950,,True,0.333
Syracuse Nationals,,6.0,5.0,6.0,5.0,,,,,,,,0.476,,0.431,0.351,,,0.34,,,,,,,,1950,,True,0.545
Tri-Cities Blackhawks,,1.0,2.0,0.0,3.0,,,,,,,,0.609,,0.384,0.283,,,0.409,,,,,,,,1950,,True,0.333
Washington Capitols,,0.0,2.0,0.0,2.0,,,,,,,,0.506,,0.446,0.34,,,0.41,,,,,,,,1950,,True,0.0
League Average,,,,3.0,2.0,,,,,,,,0.468,,0.427,0.344,,,0.343,,,,,,,,1950,,True,
Minneapolis Lakers,,44.0,24.0,49.0,19.0,5.41,-0.63,4.79,86.4,80.7,5.7,94.8,0.356,,0.436,0.373,,,0.262,,,,,Minneapolis Auditorium,,,1951,True,False,
Philadelphia Warriors,,40.0,26.0,43.0,23.0,3.76,-0.36,3.4,84.8,81.0,3.8,99.3,0.385,,0.425,0.35,,,0.294,,,,,Philadelphia Arena,,,1951,True,False,
Rochester Royals,,41.0,27.0,42.0,26.0,2.99,-0.44,2.54,89.3,86.2,3.1,92.3,0.418,,0.452,0.378,,,0.315,,,,,Edgerton Park Arena,,,1951,True,False,
Syracuse Nationals,,32.0,34.0,34.0,32.0,0.53,0.09,0.62,86.4,85.9,0.5,98.1,0.491,,0.435,0.351,,,0.356,,,,,State Fair Coliseum,,,1951,True,False,
New York Knicks,,36.0,30.0,34.0,32.0,0.41,0.07,0.49,88.0,87.6,0.4,94.8,0.415,,0.445,0.379,,,0.296,,,,,Madison Square Garden (III),,,1951,True,False,
Boston Celtics,,39.0,30.0,34.0,35.0,-0.26,-0.15,-0.41,87.3,87.6,-0.3,95.9,0.431,,0.441,0.368,,,0.312,,,,,Boston Garden,197888.0,,1951,True,False,
Fort Wayne Pistons,,32.0,36.0,29.0,39.0,-1.87,0.07,-1.81,82.0,83.8,-1.8,102.4,0.403,,0.41,0.338,,,0.29,,,,,North Side High School Gym,,,1951,True,False,
Baltimore Bullets,,24.0,42.0,27.0,39.0,-2.29,0.35,-1.94,83.9,86.3,-2.4,96.8,0.364,,0.421,0.353,,,0.271,,,,,Baltimore Coliseum,,,1951,False,False,
Indianapolis Olympians,,31.0,37.0,27.0,41.0,-2.37,0.37,-2.0,83.6,86.0,-2.4,96.4,0.329,,0.42,0.363,,,0.236,,,,,Hinkle Fieldhouse,,,1951,True,False,
Tri-Cities Blackhawks,,25.0,43.0,24.0,44.0,-3.79,0.56,-3.22,80.8,84.4,-3.6,103.9,0.401,,0.403,0.329,,,0.29,,,,,Wharton Field House,,,1951,False,False,
Washington Capitols,,10.0,25.0,11.0,24.0,-4.77,0.14,-4.63,83.2,88.1,-4.9,97.1,0.413,,0.416,0.334,,,0.316,,,,,Uline Arena,,,1951,False,False,
League Average,,,,32.0,32.0,0.0,0.0,0.0,85.1,85.1,,97.4,0.399,,0.428,0.357,,,0.293,,,,,,197888.0,,1951,False,False,
Rochester Royals,,9.0,5.0,11.0,3.0,,,,92.5,84.7,7.8,80.3,0.468,,0.47,0.392,,,0.35,,,,,,,,1951,,True,0.643
Syracuse Nationals,,4.0,3.0,5.0,2.0,,,,91.2,87.1,4.1,85.6,0.497,,0.462,0.376,,,0.376,,,,,,,,1951,,True,0.571
Indianapolis Olympians,,1.0,2.0,2.0,1.0,,,,88.9,88.6,0.3,76.4,0.34,,0.452,0.402,,,0.236,,,,,,,,1951,,True,0.333
New York Knicks,,8.0,6.0,6.0,8.0,,,,87.5,89.3,-1.8,82.4,0.439,,0.443,0.378,,,0.301,,,,,,,,1951,,True,0.571
Minneapolis Lakers,,3.0,4.0,3.0,4.0,,,,87.6,90.8,-3.2,81.6,0.386,,0.443,0.375,,,0.285,,,,,,,,1951,,True,0.429
Philadelphia Warriors,,0.0,2.0,0.0,2.0,,,,86.6,93.9,-7.3,65.2,0.487,,0.435,0.342,,,0.373,,,,,,,,1951,,True,0.0
Fort Wayne Pistons,,1.0,2.0,0.0,3.0,,,,75.9,89.4,-13.5,99.9,0.237,,0.377,0.333,,,0.165,,,,,,,,1951,,True,0.333
Boston Celtics,,0.0,2.0,0.0,2.0,,,,76.4,91.0,-14.6,59.3,0.402,,0.381,0.323,,,0.25,,,,,,,,1951,,True,0.0
League Average,,,,3.0,3.0,,,,88.2,88.2,,80.6,0.427,,0.446,0.376,,,0.308,,,,,,,,1951,,True,
Minneapolis Lakers,25.9,40.0,26.0,49.0,17.0,6.03,-0.75,5.28,85.3,79.3,6.0,97.2,0.335,,0.429,0.367,,,0.25,,,,,Minneapolis Auditorium,,,1952,True,False,
Syracuse Nationals,25.8,40.0,26.0,45.0,21.0,4.45,-0.52,3.94,89.2,84.6,4.6,96.1,0.497,,0.451,0.364,,,0.371,,,,,Onondaga War Memorial,,,1952,True,False,
Boston Celtics,24.9,39.0,27.0,43.0,23.0,4.08,-0.47,3.6,90.4,86.4,4.0,100.0,0.437,,0.459,0.387,,,0.32,,,,,Boston Garden,160167.0,,1952,True,False,
Rochester Royals,28.9,41.0,25.0,42.0,24.0,3.35,-0.43,2.92,91.6,88.1,3.5,92.7,0.416,,0.465,0.389,,,0.321,,,,,Edgerton Park Arena,,,1952,True,False,
New York Knicks,25.5,37.0,29.0,35.0,31.0,0.74,-0.07,0.67,88.7,87.9,0.8,94.9,0.414,,0.449,0.383,,,0.296,,,,,Madison Square Garden (III),,,1952,True,False,
Indianapolis Olympians,24.5,34.0,32.0,33.0,33.0,0.12,-0.04,0.08,85.2,85.1,0.1,96.7,0.356,,0.429,0.367,,,0.258,,,,,Hinkle Fieldhouse,,,1952,True,False,
Philadelphia Warriors,26.6,33.0,33.0,30.0,36.0,-1.26,0.17,-1.08,89.5,90.8,-1.3,95.5,0.399,,0.453,0.38,,,0.304,,,,,Philadelphia Arena,,,1952,True,False,
Fort Wayne Pistons,26.5,29.0,37.0,27.0,39.0,-2.05,0.22,-1.83,85.6,87.9,-2.3,90.1,0.438,,0.431,0.353,,,0.321,,,,,North Side High School Gym,,,1952,True,False,
Baltimore Bullets,27.3,20.0,46.0,15.0,51.0,-7.5,0.92,-6.6,83.0,90.6,-7.6,97.3,0.402,,0.416,0.342,,,0.294,,,,,Baltimore Coliseum,,,1952,False,False,
Milwaukee Hawks,26.6,17.0,49.0,13.0,53.0,-7.94,0.93,-7.04,80.4,89.1,-8.7,90.7,0.431,,0.402,0.331,,,0.294,,,,,Milwaukee Arena,,,1952,False,False,
League Average,26.3,,,33.0,33.0,0.0,0.0,-0.01,86.9,86.9,,95.1,0.411,,0.438,0.367,,,0.302,,,,,,160167.0,,1952,False,False,
Minneapolis Lakers,25.9,9.0,4.0,8.0,5.0,,,,93.1,89.2,3.9,86.4,0.443,,0.474,0.403,,,0.328,,,,,,,,1952,,True,0.692
Rochester Royals,29.0,3.0,3.0,4.0,2.0,,,,93.1,90.1,3.0,88.0,0.536,,0.474,0.384,,,0.403,,,,,,,,1952,,True,0.5
Syracuse Nationals,25.4,3.0,4.0,4.0,3.0,,,,94.8,92.5,2.3,97.9,0.655,,0.484,0.386,,,0.476,,,,,,,,1952,,True,0.429
Boston Celtics,24.7,1.0,2.0,2.0,1.0,,,,99.8,97.7,2.1,90.2,0.551,,0.512,0.419,,,0.436,,,,,,,,1952,,True,0.333
New York Knicks,25.5,8.0,6.0,6.0,8.0,,,,94.9,96.6,-1.7,89.0,0.58,,0.484,0.393,,,0.431,,,,,,,,1952,,True,0.571
Indianapolis Olympians,24.3,0.0,2.0,0.0,2.0,,,,84.6,92.7,-8.1,92.8,0.35,,0.425,0.363,,,0.256,,,,,,,,1952,,True,0.0
Philadelphia Warriors,26.7,1.0,2.0,1.0,2.0,,,,96.6,106.1,-9.5,88.3,0.563,,0.493,0.394,,,0.442,,,,,,,,1952,,True,0.333
Fort Wayne Pistons,26.8,0.0,2.0,0.0,2.0,,,,85.5,97.5,-12.0,95.9,0.345,,0.431,0.376,,,0.242,,,,,,,,1952,,True,0.0
League Average,26.0,,,3.0,3.0,,,,93.8,93.9,,89.9,0.527,,0.478,0.393,,,0.392,,,,,,,,1952,,True,
Minneapolis Lakers,26.5,48.0,22.0,52.0,18.0,6.13,-0.59,5.54,90.1,83.6,6.5,93.7,0.4,,0.457,0.39,,,0.295,,,,,Minneapolis Auditorium,,,1953,True,False,
New York Knicks,26.0,47.0,23.0,50.0,20.0,5.23,-0.84,4.39,90.5,85.0,5.5,93.1,0.497,,0.46,0.386,,,0.35,,,,,Madison Square Garden (III),,,1953,True,False,
Syracuse Nationals,25.8,47.0,24.0,48.0,23.0,4.31,-0.69,3.62,90.6,86.0,4.6,92.8,0.554,,0.459,0.364,,,0.412,,,,,Onondaga War Memorial,,,1953,True,False,
Rochester Royals,29.2,44.0,26.0,43.0,27.0,2.8,-0.18,2.62,89.8,86.9,2.9,94.1,0.506,,0.455,0.372,,,0.369,,,,,Edgerton Park Arena,,,1953,True,False,
Boston Celtics,25.4,46.0,25.0,42.0,29.0,2.37,-0.43,1.94,91.7,89.3,2.4,94.7,0.471,,0.467,0.392,,,0.343,,,,,Boston Garden,161808.0,,1953,True,False,
Fort Wayne Pistons,26.5,36.0,33.0,34.0,35.0,-0.12,0.29,0.17,87.6,87.7,-0.1,91.1,0.476,,0.442,0.359,,,0.352,,,,,War Memorial Coliseum,,,1953,True,False,
Milwaukee Hawks,26.3,27.0,44.0,31.0,40.0,-1.51,0.51,-2.49,84.0,85.7,-1.7,88.4,0.451,,0.423,0.352,,,0.309,,,,,Milwaukee Arena,,,1953,False,False,
Indianapolis Olympians,25.5,28.0,43.0,27.0,44.0,-2.79,0.49,-2.3,84.9,88.0,-3.1,86.3,0.438,,0.427,0.351,,,0.315,,,,,Hinkle Fieldhouse,,,1953,True,False,
Baltimore Bullets,26.3,16.0,54.0,18.0,52.0,-6.41,0.62,-5.8,86.8,93.4,-6.6,95.2,0.453,,0.439,0.371,,,0.311,,,,,Baltimore Coliseum,,,1953,True,False,
Philadelphia Warriors,26.0,12.0,57.0,16.0,53.0,-7.2,0.91,-7.75,83.9,91.4,-7.5,94.7,0.414,,0.422,0.358,,,0.281,,,,,Convention Hall,,,1953,False,False,
League Average,26.5,,,36.0,34.0,0.29,0.01,0.01,88.0,87.7,,92.4,0.465,,0.445,0.37,,,0.333,,,,,,161808.0,,1953,False,False,
Minneapolis Lakers,26.5,9.0,3.0,9.0,3.0,,,,89.6,83.9,5.7,92.6,0.474,,0.454,0.377,,,0.343,,,,,,,,1953,,True,0.75
New York Knicks,26.2,6.0,5.0,6.0,5.0,,,,91.3,89.0,2.3,90.9,0.517,,0.464,0.386,,,0.368,,,,,,,,1953,,True,0.545
Rochester Royals,29.3,1.0,2.0,2.0,1.0,,,,86.3,85.2,1.1,86.9,0.688,,0.434,0.317,,,0.497,,,,,,,,1953,,True,0.333
Boston Celtics,25.4,3.0,3.0,3.0,3.0,,,,94.8,95.2,-0.4,87.4,0.613,,0.483,0.378,,,0.47,,,,,,,,1953,,True,0.5
Fort Wayne Pistons,26.9,4.0,4.0,3.0,5.0,,,,91.0,95.4,-4.4,84.0,0.727,,0.461,0.347,,,0.524,,,,,,,,1953,,True,0.5
Syracuse Nationals,26.2,0.0,2.0,1.0,1.0,,,,96.5,102.7,-6.2,79.8,0.773,,0.492,0.369,,,0.582,,,,,,,,1953,,True,0.0
Indianapolis Olympians,25.5,0.0,2.0,0.0,2.0,,,,79.4,89.0,-9.6,93.2,0.394,,0.394,0.313,,,0.3,,,,,,,,1953,,True,0.0
Baltimore Bullets,24.9,0.0,2.0,0.0,2.0,,,,79.3,94.2,-14.9,90.2,0.414,,0.398,0.349,,,0.243,,,,,,,,1953,,True,0.0
League Average,26.4,,,3.0,3.0,,,,90.1,90.1,,88.9,0.56,,0.457,0.366,,,0.406,,,,,,,,1953,,True,
Syracuse Nationals,25.5,42.0,30.0,50.0,22.0,4.9,-0.64,4.27,88.2,83.0,5.2,93.5,0.475,,0.446,0.368,,,0.341,,,,,Onondaga War Memorial,,,1954,True,False,
Minneapolis Lakers,27.3,46.0,26.0,45.0,27.0,3.06,-0.35,2.71,86.8,83.5,3.3,93.5,0.356,,0.438,0.376,,,0.261,,,,,Minneapolis Auditorium,,,1954,True,False,
Rochester Royals,29.2,44.0,28.0,44.0,28.0,2.43,-0.2,2.24,86.6,84.0,2.6,90.9,0.462,,0.438,0.369,,,0.316,,,,,Edgerton Park Arena,,,1954,True,False,
Boston Celtics,26.4,42.0,30.0,43.0,29.0,2.33,-0.32,1.97,92.5,90.0,2.5,93.0,0.457,,0.471,0.4,,,0.332,,,,,Boston Garden,156912.0,,1954,True,False,
Fort Wayne Pistons,26.8,40.0,32.0,41.0,31.0,1.63,-0.18,1.45,89.0,87.2,1.8,86.9,0.446,,0.451,0.376,,,0.326,,,,,War Memorial Coliseum,,,1954,True,False,
New York Knicks,27.1,44.0,28.0,36.0,36.0,-0.13,-0.02,-0.16,89.3,89.4,-0.1,87.4,0.488,,0.452,0.374,,,0.352,,,,,Madison Square Garden (III),,,1954,True,False,
Philadelphia Warriors,24.8,29.0,43.0,29.0,43.0,-2.14,0.22,-1.89,86.7,89.0,-2.3,89.4,0.418,,0.438,0.372,,,0.292,,,,,Convention Hall,,,1954,False,False,
Milwaukee Hawks,26.1,21.0,51.0,19.0,53.0,-5.29,0.75,-4.55,82.9,89.2,-6.3,84.2,0.433,,0.416,0.345,,,0.3,,,,,Milwaukee Arena,,,1954,False,False,
Baltimore Bullets,24.1,16.0,56.0,17.0,55.0,-6.76,0.79,-5.98,85.2,92.6,-7.4,91.3,0.417,,0.43,0.368,,,0.283,,,,,Baltimore Coliseum,,,1954,False,False,
League Average,26.3,,,36.0,36.0,0.0,0.01,0.01,87.5,87.5,,90.0,0.438,,0.442,0.372,,,0.311,,,,,,156912.0,,1954,False,False,
Minneapolis Lakers,27.4,9.0,4.0,10.0,3.0,,,,92.2,85.1,7.1,87.1,0.451,,0.47,0.4,,,0.326,,,,,,,,1954,,True,0.692
Syracuse Nationals,25.5,9.0,4.0,7.0,6.0,,,,94.3,92.7,1.6,85.7,0.668,,0.483,0.396,,,0.459,,,,,,,,1954,,True,0.692
Boston Celtics,26.5,2.0,4.0,2.0,4.0,,,,92.9,95.2,-2.3,92.0,0.574,,0.473,0.379,,,0.426,,,,,,,,1954,,True,0.333
