team_id,team,g,mp,fg,fga,fg_percentage,threeP,threePA,threeP_percentage,twoP,twoPA,twoP_percentage,ft,fta,ft_percentage,orb,drb,trb,ast,stl,blk,tov,pf,pts,year,playoffs,playoffs_s
1610612755,Syracuse Nationals,64,-99,29.2,82.4,0.354,-99.0,-99.0,-99.0,29.2,82.4,0.354,26.4,37.4,0.706,-99.0,-99.0,-99.0,23.0,-99.0,-99.0,-99.0,28.6,84.8,1950,Y,N
1610612747,Minneapolis Lakers,68,-99,31.5,85.8,0.367,-99.0,-99.0,-99.0,31.5,85.8,0.367,21.2,28.6,0.741,-99.0,-99.0,-99.0,20.7,-99.0,-99.0,-99.0,24.6,84.1,1950,Y,N
1610612737,Tri-Cities Blackhawks,64,-99,28.4,86.2,0.33,-99.0,-99.0,-99.0,28.4,86.2,0.33,26.2,36.1,0.727,-99.0,-99.0,-99.0,20.8,-99.0,-99.0,-99.0,32.1,83.0,1950,Y,N
1610612758,Rochester Royals,68,-99,28.8,77.2,0.373,-99.0,-99.0,-99.0,28.8,77.2,0.373,24.9,34.1,0.729,-99.0,-99.0,-99.0,20.3,-99.0,-99.0,-99.0,23.3,82.4,1950,Y,N
1610612752,New York Knicks,68,-99,27.8,78.7,0.353,-99.0,-99.0,-99.0,27.8,78.7,0.353,25.1,35.4,0.711,-99.0,-99.0,-99.0,19.2,-99.0,-99.0,-99.0,25.3,80.7,1950,Y,N
1610612738,Boston Celtics,68,-99,28.6,84.6,0.338,-99.0,-99.0,-99.0,28.6,84.6,0.338,22.5,31.8,0.707,-99.0,-99.0,-99.0,21.7,-99.0,-99.0,-99.0,24.2,79.7,1950,N,N
1610612765,Fort Wayne Pistons,68,-99,27.6,86.8,0.318,-99.0,-99.0,-99.0,27.6,86.8,0.318,24.0,34.3,0.701,-99.0,-99.0,-99.0,20.1,-99.0,-99.0,-99.0,30.4,79.3,1950,Y,N
1610612743,Denver Nuggets,62,-99,27.9,83.6,0.334,-99.0,-99.0,-99.0,27.9,83.6,0.334,21.9,32.2,0.678,-99.0,-99.0,-99.0,16.8,-99.0,-99.0,-99.0,27.3,77.7,1950,N,N
1610612744,Philadelphia Warriors,68,-99,26.2,84.0,0.312,-99.0,-99.0,-99.0,26.2,84.0,0.312,21.0,30.0,0.7,-99.0,-99.0,-99.0,16.8,-99.0,-99.0,-99.0,26.0,73.3,1950,Y,N
1610612764,Baltimore Bullets,68,-99,25.2,81.1,0.31,-99.0,-99.0,-99.0,25.2,81.1,0.31,22.8,31.2,0.73,-99.0,-99.0,-99.0,17.5,-99.0,-99.0,-99.0,26.4,73.1,1950,N,N
1610612752,New York Knicks,5,-99,27.0,71.0,0.38,-99.0,-99.0,-99.0,27.0,71.0,0.38,33.2,40.2,0.826,-99.0,-99.0,-99.0,16.2,-99.0,-99.0,-99.0,34.6,87.2,1950,Y,Y
