player_id,PLAYER_ID,games,gs,mp,fg,fga,fg_percent,threeP,threePA,three_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,twoP,twoPA,two_percent,eFG_percent,playoffs_s
76252,76252.0,70.75,11.25,24.22,5.42,11.41,0.47,0.08,0.3,0.24,2.12,2.51,0.84,1.02,2.34,3.37,2.37,0.78,0.24,1.6,2.26,13.02,0.0,0.0,0.0,0.0,N
76257,76257.0,72.0,27.0,19.43,2.9,6.31,0.45,0.08,0.22,0.3,1.66,2.06,0.79,1.33,2.51,3.8,3.09,0.71,0.04,1.73,1.97,7.43,0.0,0.0,0.0,0.0,N
76272,76272.0,74.08,1.33,24.71,6.05,12.72,0.47,0.28,0.74,0.37,1.92,2.25,0.85,0.79,1.87,2.64,3.18,1.34,0.19,1.57,1.97,14.12,0.0,0.0,0.0,0.0,N
76276,76276.0,57.56,0.0,17.74,2.22,5.19,0.39,0.0,0.0,0.0,1.68,2.11,0.81,1.5,2.28,3.77,1.24,0.38,0.12,1.16,2.63,6.09,0.0,0.0,0.0,0.0,N
76286,76286.0,19.25,0.0,9.38,0.45,1.15,0.37,0.0,0.0,0.0,0.48,1.05,0.6,0.93,2.1,2.28,0.25,0.17,0.7,0.0,1.55,1.35,0.0,0.0,0.0,0.0,N
76290,76290.0,75.75,52.5,20.74,3.38,7.54,0.45,0.08,0.35,0.19,1.71,2.29,0.74,1.35,2.61,3.96,1.7,0.85,0.32,1.97,2.65,8.52,0.0,0.0,0.0,0.0,N
76296,76296.0,71.9,51.4,22.06,3.43,7.47,0.45,0.01,0.09,0.12,1.13,1.69,0.66,0.81,1.88,2.68,4.24,1.82,0.1,2.13,2.89,8.01,0.0,0.0,0.0,0.0,N
76305,76305.0,63.71,0.0,19.01,3.07,7.0,0.43,0.0,0.05,0.0,2.06,2.9,0.68,1.84,3.71,5.56,1.17,0.63,1.17,1.05,2.8,8.24,0.0,0.0,0.0,0.0,N
76317,76317.0,72.0,25.75,25.19,2.71,6.13,0.43,0.38,1.22,0.31,1.0,1.28,0.79,0.56,1.64,2.18,4.32,1.71,0.12,1.01,1.48,6.64,0.0,0.0,0.0,0.0,N
76321,76321.0,57.0,12.0,15.13,2.15,4.55,0.47,0.07,0.2,0.34,1.15,1.6,0.73,0.92,1.23,2.17,1.35,0.33,0.1,1.13,1.48,5.48,0.0,0.0,0.0,0.0,N
76330,76330.0,61.2,0.0,17.62,1.92,4.24,0.45,0.0,0.0,0.0,0.84,1.1,0.72,1.19,2.09,3.34,0.94,0.61,0.27,0.53,2.24,4.66,0.0,0.0,0.0,0.0,N
76336,76336.0,42.57,0.0,15.73,2.27,5.64,0.4,0.0,0.2,0.15,2.93,3.49,0.84,0.36,0.87,1.24,2.57,0.67,0.03,1.13,1.39,7.49,0.0,0.0,0.0,0.0,N
76348,76348.0,60.75,0.0,25.53,5.46,12.4,0.42,0.0,0.1,0.08,2.16,2.75,0.75,1.08,1.22,2.56,2.48,0.66,0.08,1.35,1.84,13.07,0.0,0.0,0.0,0.0,N
76350,76350.0,59.07,28.29,23.9,4.22,8.39,0.5,0.0,0.08,0.05,2.32,3.37,0.7,2.14,4.9,7.03,1.2,0.69,0.41,2.05,3.02,10.75,0.0,0.0,0.0,0.0,N
76351,76351.0,67.11,7.0,21.98,3.56,7.62,0.45,0.08,0.35,0.23,1.77,2.34,0.79,1.37,2.49,3.88,1.73,1.23,0.34,1.51,2.3,8.91,0.0,0.0,0.0,0.0,N
76352,76352.0,38.5,0.0,20.5,2.98,7.02,0.43,0.0,0.2,0.0,1.5,1.98,0.76,0.88,1.25,2.12,1.3,0.78,0.25,1.35,2.58,7.48,0.0,0.0,0.0,0.0,N
76361,76361.0,29.5,0.0,8.1,1.2,2.75,0.42,0.0,0.0,0.0,0.5,0.85,0.48,0.45,0.8,1.25,0.6,0.3,0.2,0.85,1.35,2.8,0.0,0.0,0.0,0.0,N
76365,76365.0,60.08,14.75,17.55,1.33,3.08,0.44,0.0,0.0,0.0,0.71,1.07,0.66,1.71,3.26,4.97,0.81,0.36,1.66,1.16,2.64,3.4,0.0,0.0,0.0,0.0,N
76379,76379.0,61.0,0.0,20.77,2.92,6.95,0.41,0.0,0.1,0.17,1.33,1.72,0.77,1.23,1.61,3.37,1.91,1.06,0.4,1.04,2.53,7.19,0.0,0.0,0.0,0.0,N
76385,76385.0,69.53,61.18,30.72,4.24,8.12,0.52,0.05,0.21,0.26,2.04,2.56,0.79,0.61,2.12,2.74,6.4,1.97,0.24,1.91,1.88,10.56,0.0,0.0,0.0,0.0,N
